CERTIFIED,2011,307936
CERTIFIED,2012,352668
CERTIFIED,2013,382951
CERTIFIED,2014,455144
CERTIFIED,2015,547278
CERTIFIED,2016,569646
CERTIFIED-WITHDRAWN,2011,11596
CERTIFIED-WITHDRAWN,2012,31118
CERTIFIED-WITHDRAWN,2013,35432
CERTIFIED-WITHDRAWN,2014,36350
CERTIFIED-WITHDRAWN,2015,41071
CERTIFIED-WITHDRAWN,2016,47092
DENIED,2011,29130
DENIED,2012,21096
DENIED,2013,12126
DENIED,2014,11896
DENIED,2015,10923
DENIED,2016,9175
INVALIDATED,2014,1
PENDING QUALITY AND COMPLIANCE REVIEW - UNASSIGNED,2013,15
REJECTED,2014,2
WITHDRAWN,2011,10105
WITHDRAWN,2012,10725
WITHDRAWN,2013,11590
WITHDRAWN,2014,16034
WITHDRAWN,2015,19455
WITHDRAWN,2016,21890
